Website URL,Image URL
https://www.zomato.com/bangalore/kaumudis-juoice-banashankari,"https://b.zmtcdn.com/data/pictures/2/18643512/21acaf747719d5fc57024a150bdeded7.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/hotel-andhra-speices-banashankari-bangalore,"https://b.zmtcdn.com/data/pictures/2/18724792/2e9fe00ec670045827d6d2a42043f19a.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/sri-murari-family-restaurant-banashankari-bangalore,"https://b.zmtcdn.com/data/reviews_photos/c1b/85a822435cb4befb95f98fb18be7bc1b_1542883862.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/aramane-donne-biriyani-banashankari-bangalore,"https://b.zmtcdn.com/data/reviews_photos/712/5b39cc655b5e1863b5ae78c05ddf6712_1535524014.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/melting-melodies-banashankari-bangalore,"https://b.zmtcdn.com/data/reviews_photos/654/e57a134097af0155ca646ffdf2790654_1545593926.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/new-indraprasta-banashankari-bangalore,"https://b.zmtcdn.com/data/pictures/1/18902321/356cf790018e17b9690047dbd7b0a890.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/anna-kuteera-1-banashankari,"https://b.zmtcdn.com/data/pictures/chains/5/52435/50a386258fce9eedcd373c46930b81c1.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/darbar-banashankari,"https://b.zmtcdn.com/data/pictures/4/56634/35efb59d742748c812d1943b2d0497c5.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/vijayalakshmi-basavanagudi-bangalore,"https://b.zmtcdn.com/data/pictures/9/54259/2220a26c3db9c45bd2da2765d4d09b33.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/sri-udupi-food-hub-1-jayanagar-bangalore,"https://b.zmtcdn.com/data/pictures/0/18683480/dbc04802eb4f458450702b921b9a5e2b.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/udupi-upahar-banashankari,"https://b.zmtcdn.com/data/pictures/4/55994/610fbd078ea8f4675fb1cdf0b4ea65e0.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/house-of-kebabs-basavanagudi,"https://b.zmtcdn.com/data/pictures/2/56042/2e5fe7b7126b27572592071fa7659843.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/roll-n-rock-kumaraswamy-layout,"https://b.zmtcdn.com/data/pictures/chains/2/18480022/8e1e5908d842370b224d6fbfdfd3d405_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/box8-desi-meals-banashankari-bangalore,"https://b.zmtcdn.com/data/pictures/chains/8/18173078/f0ac5190933f0e8dffc05659d515f891.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/kfc-banashankari,"https://b.zmtcdn.com/data/pictures/chains/4/50574/584ff2064cc413bbd08272fec0c5c934.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/bitez-banashankari-bangalore,"https://b.zmtcdn.com/data/pictures/3/18902173/86b682e5fc47a32e4118c73220c447ff.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/roll-over-jayanagar,"https://b.zmtcdn.com/data/pictures/chains/7/18387377/36a9ba91903176a2c06b8e1db17dcd52_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/imperial-restaurant-mysore-road,"https://b.zmtcdn.com/data/pictures/chains/2/50502/4cdc9a50a942b02af5a187c906ba24de.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/lassi-shop-1-kumaraswamy-layout,"https://b.zmtcdn.com/data/pictures/chains/9/60069/8a62a22e08adcb6c56085709300e30be_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/the-fortuna-kumaraswamy-layout-bangalore,"https://b.zmtcdn.com/data/pictures/2/54922/63839d6cb269cdcf1d48296461b6ef12_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/wahab-jayanagar,"https://b.zmtcdn.com/data/pictures/4/18583454/bbfb1518071d1ea595924148b668798c.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/al-diwan-biryanis-and-more-basavanagudi-bangalore,"https://b.zmtcdn.com/data/pictures/0/18803160/adbc96aa224455a355a421c0d7f16aa2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/new-gowdas-fried-chicken-banashankari-bangalore,"https://b.zmtcdn.com/data/pictures/8/18659948/ba0a98c27644c0b24bc2f9727bf386b5.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/canton-jayanagar,"https://b.zmtcdn.com/data/pictures/chains/2/53652/3a942fdcae2a32b9be3b1e7f7364f22d.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/the-blue-wagon-kitchen-jayanagar-bangalore,"https://b.zmtcdn.com/data/pictures/6/18701756/d50137b8cebf64878c8667046139891c.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/hot-coffee-basavanagudi,"https://b.zmtcdn.com/data/pictures/chains/8/18270348/09d452a9dff84a5364b19b9dbf9cf902.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/patio-805-jayanagar,"https://b.zmtcdn.com/data/pictures/1/18649921/f9d1c990623b8b2a21fd3a2b5d11e9d9.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/lassi-corner-basavanagudi-bangalore,"https://b.zmtcdn.com/data/pictures/chains/1/18388641/034d9b129fd522fc8d8b8b809b9b98dd_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/sagar-deluxe-kumaraswamy-layout,"https://b.zmtcdn.com/data/pictures/6/52246/04326d7c123764e781fbc9b75e553f7c.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/kanti-sweets-banashankari,"https://b.zmtcdn.com/data/pictures/chains/0/50550/0c47221fbb423d8d54ea8b55e9a84313.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/vegetalia-banashankari-bangalore,"https://b.zmtcdn.com/data/pictures/7/18728847/af4bfa300ab5ee4bf9adeac0928fd178.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/aramane-donne-biryani-banashankari-bangalore,"https://b.zmtcdn.com/data/pictures/chains/6/18948896/313763803aeff5533ff693fe8c58c8d2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/ande-ka-funda-banashankari,"https://b.zmtcdn.com/data/pictures/1/55521/ce9038ad7c9fc94d26ad0e0b88c970ea.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/cake-ghar-basavanagudi,"https://b.zmtcdn.com/data/pictures/6/18365756/7765f82d4755b963b157d0dc08674d5a_featured_v2.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/energy-addaa-basavanagudi-bangalore,"https://b.zmtcdn.com/data/pictures/2/18797132/2a96d14b3bc52049f3ae57a1ce57d8f3.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/bhattara-bhojana-banashankari,"https://b.zmtcdn.com/data/pictures/chains/1/18638391/4338720348259a3abfe08b19a601cd63.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/tandoori-knight-banashankari,"https://b.zmtcdn.com/data/pictures/chains/4/54284/76b09ac4a52d6c04932a7e4e2d1d2dca.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/dev-sagar-food-street-basavanagudi-bangalore,"https://b.zmtcdn.com/data/pictures/chains/6/51956/48369493723977b64faa29998c78f7e4.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/mitraa-da-pizza-kumaraswamy-layout-bangalore,"https://b.zmtcdn.com/data/reviews_photos/457/bd4847d1133e1a85ca90cd7152b47457_1542883621.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/paradise-premium-banashankari,"https://b.zmtcdn.com/data/pictures/chains/4/18582894/12656e948080e8b9f306bdd00de3b6ca.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/grazers-jayanagar-bangalore,"https://b.zmtcdn.com/data/pictures/4/18541584/edd8b12320b90aaf4aff4cc17b13316f.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/shakes-theory-1-jayanagar-bangalore,"https://b.zmtcdn.com/data/pictures/chains/9/18675459/70790a9700a6cf1966cf78e31492ed89.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/@italy-kumaraswamy-layout-bangalore,"https://b.zmtcdn.com/data/pictures/chains/7/17978367/ca7288bfe55e004538f7153ef2fba172.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
https://www.zomato.com/bangalore/chilli-flakes-banashankari-bangalore,"https://b.zmtcdn.com/data/pictures/9/18688449/91dbd9c17b4d3b0122d85fe62a3bf6a8.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*"
